Batch Size,Filter Size,Optimizer,Regularization,Train Accuracy,Train Loss,Test Accuracy,Test Loss
32,3,Adam,,0.9867166876792908,0.036075741052627563,0.9043999910354614,0.5690636038780212
64,5,SGD,<keras.src.regularizers.regularizers.L2 object at 0x7e04e6d7ee50>,0.8918499946594238,0.4744408130645752,0.8792999982833862,0.507469892501831
128,3,RMSprop,<keras.src.regularizers.regularizers.L2 object at 0x7e0553dc5f50>,0.9278333187103271,0.2715652287006378,0.9090999960899353,0.3252676725387573
32,5,Adam,,0.9803166389465332,0.05176343768835068,0.9103000164031982,0.4895452558994293
